"site","AgencyCd","SiteName","DecLatVa","DecLongVa","AltVa","AltUnitsNm","WellDepth","WellDepthUnitsNm","NatAquiferCd","NatAqfrDesc","StateCd","StateNm","CountyCd","CountyNm","LocalAquiferCd","LocalAquiferName","SiteType","AquiferType","link"
"345812079313401","USGS","SC-080 (NC-194) NR MARSTON, NC (BLACK CREEK)",34.9705555555556,-79.5283333333333,430.3,"Feet",39,"Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system",37,"North Carolina",165,"Scotland County","211BAKCU","Black Creek Aquifer, Upper","WELL","UNCONFINED","https://waterdata.usgs.gov/monitoring-location/345812079313401#parameterCode=72019&period=P7D"
"351121083545002","USGS","CE-029 (NC-192) AT MARBLE, NC (REGOLITH)",35.1891666666667,-83.9138888888889,1716.7,"Feet",24,"Feet","N400PDMBRX","Piedmont and Blue Ridge crystalline-rock aquifers",37,"North Carolina",39,"Cherokee County","100RGLT","Regolith","WELL","UNCONFINED","https://waterdata.usgs.gov/monitoring-location/351121083545002#parameterCode=72019&period=P7D"
"351709082434101","USGS","TR-066 (NC-147) PISGAH FOREST (ALLUVIUM)",35.2858333333333,-82.7280555555556,2176.8,"Feet",23,"Feet","N400PDMBRX","Piedmont and Blue Ridge crystalline-rock aquifers",37,"North Carolina",175,"Transylvania County","100RGLT","Regolith","WELL","UNCONFINED","https://waterdata.usgs.gov/monitoring-location/351709082434101#parameterCode=72019&period=P7D"
"351808082374302","USGS","TR-065 (NC-144) AT BLANTYRE, NC (REGOLITH)",35.3027777777778,-82.6283333333333,2147.5,"Feet",58,"Feet","N400PDMBRX","Piedmont and Blue Ridge crystalline-rock aquifers",37,"North Carolina",175,"Transylvania County","100RGLT","Regolith","WELL","UNCONFINED","https://waterdata.usgs.gov/monitoring-location/351808082374302#parameterCode=72019&period=P7D"
"351849078163901","USGS","WA-154 (NC-148) NR GRANTHAM, NC (SURFICIAL)",35.3097222222222,-78.2727777777778,185.7,"Feet",10.4,"Feet","S100SURFCL","Surficial aquifer system",37,"North Carolina",191,"Wayne County","110QPLC","Post Miocene (Quaternary + Pliocene) Rocks","WELL","UNCONFINED","https://waterdata.usgs.gov/monitoring-location/351849078163901#parameterCode=72019&period=P7D"
"352012081154301","USGS","GS-289 PASOUR MTN RS REGOLITH WELL, PM-25",35.3368055555556,-81.2620694444444,931.78,"Feet",80,"Feet","N400PDMBRX","Piedmont and Blue Ridge crystalline-rock aquifers",37,"North Carolina",71,"Gaston County","100RGLT","Regolith","WELL","UNCONFINED","https://waterdata.usgs.gov/monitoring-location/352012081154301#parameterCode=72019&period=P7D"
"352012081154302","USGS","GS-290 PASOUR MTN RS TRANSITION ZONE WELL, PM-3",35.3368055555556,-81.2620694444444,925.82,"Feet",123,"Feet","N400PDMBRX","Piedmont and Blue Ridge crystalline-rock aquifers",37,"North Carolina",71,"Gaston County","100TRNS","Transition Zone","WELL","UNCONFINED","https://waterdata.usgs.gov/monitoring-location/352012081154302#parameterCode=72019&period=P7D"
"352315082484401","USGS","HW-047 (NC-40) CHAMPION WELL NR CRUSO (REGOLITH)",35.3877777777778,-82.8122222222222,3148.4,"Feet",18.4,"Feet","N400PDMBRX","Piedmont and Blue Ridge crystalline-rock aquifers",37,"North Carolina",87,"Haywood County","100RGLT","Regolith","WELL","UNCONFINED","https://waterdata.usgs.gov/monitoring-location/352315082484401#parameterCode=72019&period=P7D"
"353135080524201","USGS","IR-130 LANGTREE RS MW-2S NR MT MOURNE (REGOLITH)",35.5263888888889,-80.8783333333333,803.2,"Feet",28,"Feet","N400PDMBRX","Piedmont and Blue Ridge crystalline-rock aquifers",37,"North Carolina",97,"Iredell County","100RGLT","Regolith","WELL","UNCONFINED","https://waterdata.usgs.gov/monitoring-location/353135080524201#parameterCode=72019&period=P7D"
"353135080524202","USGS","IR-131 LANGTREE RS MW-2I (TRANSITION ZONE)",35.5266666666667,-80.8783333333333,803,"Feet",48,"Feet","N400PDMBRX","Piedmont and Blue Ridge crystalline-rock aquifers",37,"North Carolina",97,"Iredell County","100TRNS","Transition Zone","WELL","UNCONFINED","https://waterdata.usgs.gov/monitoring-location/353135080524202#parameterCode=72019&period=P7D"
"353135080524203","USGS","IR-132 LANGTREE RS MW-2D (QUARTZ DIORITE)",35.5266666666667,-80.8783333333333,802.7,"Feet",400,"Feet","N400PDMBRX","Piedmont and Blue Ridge crystalline-rock aquifers",37,"North Carolina",97,"Iredell County","360IIVI","Intermediate Intrusive Igneous Rock","WELL","CONFINED","https://waterdata.usgs.gov/monitoring-location/353135080524203#parameterCode=72019&period=P7D"
"353219077153801","USGS","PI-532 (NC-160) NR SIMPSON, NC (SURFICIAL)",35.5383333333333,-77.2613888888889,55.02,"Feet",10.9,"Feet","S100SURFCL","Surficial aquifer system",37,"North Carolina",147,"Pitt County","110QPLC","Post Miocene (Quaternary + Pliocene) Rocks","WELL","UNCONFINED","https://waterdata.usgs.gov/monitoring-location/353219077153801#parameterCode=72019&period=P7D"
"354057080362601","USGS","RO-149 (NC-193) PIEDMONT RS 1 NR BARBER (REGOLITH)",35.6827833333333,-80.6070472222222,676.1,"Feet",24,"Feet","N400PDMBRX","Piedmont and Blue Ridge crystalline-rock aquifers",37,"North Carolina",159,"Rowan County","100RGLT","Regolith","WELL","UNCONFINED","https://waterdata.usgs.gov/monitoring-location/354057080362601#parameterCode=72019&period=P7D"
"354133082042201","USGS","MC-107 NEAR PLEASANT GARDENS RS, NC (REGOLITH)",35.6926111111111,-82.0729444444444,1344.5,"Feet",45,"Feet","N400PDMBRX","Piedmont and Blue Ridge crystalline-rock aquifers",37,"North Carolina",111,"McDowell County","100RGLT","Regolith","WELL","UNCONFINED","https://waterdata.usgs.gov/monitoring-location/354133082042201#parameterCode=72019&period=P7D"
"354133082042203","USGS","MC-109 NEAR PLEASANT GARDENS, NC (BEDROCK)",35.6926111111111,-82.0729444444444,1344.6,"Feet",197,"Feet","N400PDMBRX","Piedmont and Blue Ridge crystalline-rock aquifers",37,"North Carolina",111,"McDowell County","100BDRK","Bedrock Undifferentiated","WELL","UNCONFINED","https://waterdata.usgs.gov/monitoring-location/354133082042203#parameterCode=72019&period=P7D"
"354302081433201","USGS","BK-126 GLEN ALPINE RS NEAR MORGANTON, NC (BEDROCK)",35.7172222222222,-81.7255555555556,1036.2,"Feet",232,"Feet","N400PDMBRX","Piedmont and Blue Ridge crystalline-rock aquifers",37,"North Carolina",23,"Burke County","100BDRK","Bedrock Undifferentiated","WELL","UNCONFINED","https://waterdata.usgs.gov/monitoring-location/354302081433201#parameterCode=72019&period=P7D"
"354418076463601","USGS","WS-100 (NC-158) NR HOKE, NC (SURFICIAL)",35.7388888888889,-76.7752777777778,33.33,"Feet",15.53,"Feet","S100SURFCL","Surficial aquifer system",37,"North Carolina",187,"Washington County","110QPLC","Post Miocene (Quaternary + Pliocene) Rocks","WELL","UNCONFINED","https://waterdata.usgs.gov/monitoring-location/354418076463601#parameterCode=72019&period=P7D"
"355359080331701","USGS","DV-025 (NC-142) NR MOCKSVILLE, NC (REGOLITH)",35.8998194444444,-80.5547805555556,831.69,"Feet",30.8,"Feet","N400PDMBRX","Piedmont and Blue Ridge crystalline-rock aquifers",37,"North Carolina",59,"Davie County","100RGLT","Regolith","WELL","UNCONFINED","https://waterdata.usgs.gov/monitoring-location/355359080331701#parameterCode=72019&period=P7D"
"355944079013401","USGS","OR-691 DUKE FOREST RS DF-1I NR EUBANKS, NC (TR ZN)",35.9956916666667,-79.0260472222222,486.1,"Feet",52,"Feet","N400PDMBRX","Piedmont and Blue Ridge crystalline-rock aquifers",37,"North Carolina",135,"Orange County","100TRNS","Transition Zone","WELL","UNCONFINED","https://waterdata.usgs.gov/monitoring-location/355944079013401#parameterCode=72019&period=P7D"
"361011079595401","USGS","GU-659 AT OAK RIDGE (REGOLITH)",36.1697777777778,-79.9982777777778,970.1,"Feet",43,"Feet","N400PDMBRX","Piedmont and Blue Ridge crystalline-rock aquifers",37,"North Carolina",81,"Guilford County","100RGLT","Regolith","WELL","UNCONFINED","https://waterdata.usgs.gov/monitoring-location/361011079595401#parameterCode=72019&period=P7D"
"361829076163201","USGS","PK-141 (NC-195) NR ELIZABETH CITY, NC (SURFICIAL)",36.3083333333333,-76.2752777777778,12,"Feet",12.6,"Feet","S100SURFCL","Surficial aquifer system",37,"North Carolina",139,"Pasquotank County","110QPLC","Post Miocene (Quaternary + Pliocene) Rocks","WELL","UNCONFINED","https://waterdata.usgs.gov/monitoring-location/361829076163201#parameterCode=72019&period=P7D"
"AA35N1","NCDWR","Kelly",34.455982,-78.307832,25.337,"Feet",14,"Feet","S100SURFCL","Surficial aquifer system",37,"North Carolina",17,"Bladen County","","Surficial","WELL","UNCONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/aa35n1110620lev.txt"
"AA35N2","NCDWR","Kelly",34.455982,-78.307832,24.867,"Feet",620,"Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system",37,"North Carolina",17,"Bladen County","","Lower Cape Fear","WELL","CONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/aa35n2110622lev.txt"
"AA35N3","NCDWR","Kelly",34.455982,-78.307832,29.037,"Feet",84,"Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system",37,"North Carolina",17,"Bladen County","","Peedee","WELL","CONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/aa35n3110623lev.txt"
"AA35N4","NCDWR","Kelly",34.455982,-78.307832,27.007,"Feet",39,"Feet","S100SURFCL","Surficial aquifer system",37,"North Carolina",17,"Bladen County","","Surficial","WELL","UNCONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/aa35n4110625lev.txt"
"AA39V1","NCDWR","Carver Moore",34.418763,-78.602503,104.815,"Feet",78,"Feet","S100SURFCL","Surficial aquifer system",37,"North Carolina",47,"Columbus County","S","Surficial","WELL","UNCONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/aa39v1110626lev.txt"
"AA39V2","NCDWR","Carver Moore",34.418763,-78.602503,104.635,"Feet",506,"Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system",37,"North Carolina",47,"Columbus County","Kucf","Upper Cape Fear","WELL","CONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/aa39v2110629lev.txt"
"AA39V3","NCDWR","Carver Moore",34.418763,-78.602503,104.745,"Feet",440,"Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system",37,"North Carolina",47,"Columbus County","Kbc","Black Creek","WELL","CONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/aa39v3110632lev.txt"
"AA39V4","NCDWR","Carver Moore",34.418763,-78.602503,104.955,"Feet",280,"Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system",37,"North Carolina",47,"Columbus County","Kubc","Upper Black Creek","WELL","CONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/aa39v4110634lev.txt"
"AA43Q1","NCDWR","Boardman",34.439458,-78.971663,79.95,"Feet",497,"Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system",37,"North Carolina",155,"Robeson County","Kucf","Upper Cape Fear","WELL","CONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/aa43q1110637lev.txt"
"B10R1","NCDWR","Moyock",36.523704,-76.206839,12.526,"Feet",840,"Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system",37,"North Carolina",53,"Currituck County","","Upper Cape Fear","WELL","CONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/b10r1110639lev.txt"
"B20U5","NCDWR","Como",36.507222,-77.005833,65.902,"Feet",26,"Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system",37,"North Carolina",91,"Hertford County","","Upper Cape Fear","WELL","CONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/b20u5110640lev.txt"
"B20U6","NCDWR","Como",36.507222,-77.005833,67.982,"Feet",575,"Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system",37,"North Carolina",91,"Hertford County","","Lower Cape Fear","WELL","CONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/b20u6110642lev.txt"
"B20U7","NCDWR","Como",36.507222,-77.005833,69.412,"Feet",500,"Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system",37,"North Carolina",91,"Hertford County","","Lower Cape Fear","WELL","CONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/b20u7110644lev.txt"
"B20U8","NCDWR","Como",36.507222,-77.005833,70.222,"Feet",33,"Feet","S100SURFCL","Surficial aquifer system",37,"North Carolina",91,"Hertford County","","Surficial","WELL","UNCONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/b20u8110646lev.txt"
"B39X1","NCDWR","Wallace Vaughan",36.50738,-78.64017,383.558,"Feet",146,"Feet","N400PDMBRX","Piedmont and Blue Ridge crystalline-rock aquifers",37,"North Carolina",77,"Granville County","","Bedrock","WELL","UNCONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/b39x1110648lev.txt"
"B39X2","NCDWR","Wallace Vaughan",36.50738,-78.64017,374.628,"Feet",21,"Feet","N400PDMBRX","Piedmont and Blue Ridge crystalline-rock aquifers",37,"North Carolina",77,"Granville County","","Surficial","WELL","UNCONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/b39x2110650lev.txt"
"BB28J2","NCDWR","Topsail Beach",34.399976,-77.67817,59.402,"Feet",493,"Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system",37,"North Carolina",141,"Pender County","","Peedee","WELL","CONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/bb28j2110651lev.txt"
"BB28J3","NCDWR","Topsail Beach",34.399976,-77.67817,59.192,"Feet",612,"Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system",37,"North Carolina",141,"Pender County","","Black Creek","WELL","CONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/bb28j3110653lev.txt"
"BB28J4","NCDWR","Topsail Beach",34.399976,-77.67817,59.212,"Feet",160,"Feet","N400CSLHYN","Castle Hayne aquifer",37,"North Carolina",141,"Pender County","","Castle Hayne","WELL","CONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/bb28j4110655lev.txt"
"BB28J5","NCDWR","Topsail Beach",34.399976,-77.67817,59.222,"Feet",15,"Feet","S100SURFCL","Surficial aquifer system",37,"North Carolina",141,"Pender County","","Surficial","WELL","UNCONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/bb28j5110658lev.txt"
"BB45M3","NCDWR","Marietta",34.373223,-79.127359,90.781,"Feet",363,"Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system",37,"North Carolina",155,"Robeson County","Kbc","Black Creek","WELL","CONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/bb45m3110701lev.txt"
"BB45M4","NCDWR","Marietta",34.373223,-79.127359,90.301,"Feet",194,"Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system",37,"North Carolina",155,"Robeson County","Kbc","Black Creek","WELL","CONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/bb45m4110704lev.txt"
"BB45M5","NCDWR","Marietta",34.373223,-79.127359,90.621,"Feet",116,"Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system",37,"North Carolina",155,"Robeson County","Kpd","Peedee","WELL","CONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/bb45m5110706lev.txt"
"BB45M6","NCDWR","Marietta",34.373223,-79.127359,90.421,"Feet",40,"Feet","S100SURFCL","Surficial aquifer system",37,"North Carolina",155,"Robeson County","S","Surficial","WELL","UNCONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/bb45m6110708lev.txt"
"C12W2","NCDWR","Morgans Corner",36.431549,-76.375628,11.272,"Feet",40,"Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system",37,"North Carolina",139,"Pasquotank County","","Yorktown","WELL","CONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/c12w2110710lev.txt"
"C12W4","NCDWR","Morgans Corner",36.431549,-76.375628,11.202,"Feet",428,"Feet","N400CSLHYN","Castle Hayne aquifer",37,"North Carolina",139,"Pasquotank County","","Castle Hayne","WELL","CONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/c12w4110712lev.txt"
"C12W5","NCDWR","Morgans Corner",36.431549,-76.375628,10.902,"Feet",1308,"Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system",37,"North Carolina",139,"Pasquotank County","","Lower Cape Fear","WELL","CONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/c12w5110714lev.txt"
"C12W6","NCDWR","Morgans Corner",36.431549,-76.375628,11.152,"Feet",648,"Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system",37,"North Carolina",139,"Pasquotank County","","Upper Cape Fear","WELL","CONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/c12w6110716lev.txt"
"C12W7","NCDWR","Morgans Corner",36.431549,-76.375628,11.252,"Feet",37,"Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system",37,"North Carolina",139,"Pasquotank County","","Yorktown","WELL","CONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/c12w7110718lev.txt"
"C16S1","NCDWR","Merchants Millpond State Park",36.4406,-76.6997,33,"Feet",460,"Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system",37,"North Carolina",73,"Gates County","Kucf","Upper Cape Fear","WELL","CONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/c16s1110719lev.txt"
"C16S2","NCDWR","Merchants Millpond State Park",36.4406,-76.6997,33,"Feet",250,"Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system",37,"North Carolina",73,"Gates County","Tb","Beaufort","WELL","CONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/c16s2110720lev.txt"
"C16S3","NCDWR","Merchants Millpond State Park",36.4406,-76.6997,33,"Feet",205,"Feet","N400CSLHYN","Castle Hayne aquifer",37,"North Carolina",73,"Gates County","Tch","Castle Hayne","WELL","CONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/c16s3110721lev.txt"
"C16S4","NCDWR","Merchants Millpond State Park",36.4406,-76.6997,33,"Feet",55,"Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system",37,"North Carolina",73,"Gates County","Ty","Yorktown","WELL","CONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/c16s4110723lev.txt"
"C16S5","NCDWR","Merchants Millpond State Park",36.4406,-76.6997,33,"Feet",25,"Feet","S100SURFCL","Surficial aquifer system",37,"North Carolina",73,"Gates County","S","Surficial","WELL","UNCONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/c16s5110724lev.txt"
"C16S6","NCDWR","Merchants Millpond State Park",36.440501,-76.699652,33,"Feet",870,"Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system",37,"North Carolina",73,"Gates County","Klcf","Lower Cape Fear","WELL","CONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/c16s6110725lev.txt"
"C23Y1","NCDWR","Northampton East High School",36.42726,-77.31878,107.807,"Feet",25.15,"Feet","S100SURFCL","Surficial aquifer system",37,"North Carolina",131,"Northampton County","","Surficial","WELL","UNCONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/c23y1110727lev.txt"
"C26N2","NCDWR","Garysburg Well 2",36.45535,-77.56018,130,"Feet",45,"Feet","S100SURFCL","Surficial aquifer system",37,"North Carolina",131,"Northampton County","S","Surficial","WELL","UNCONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/c26n2110731lev.txt"
"C30P1","NCDWR","Littleton",36.433399,-77.91389,390.638,"Feet",500,"Feet","N400PDMBRX","Piedmont and Blue Ridge crystalline-rock aquifers",37,"North Carolina",83,"Halifax County","","Bedrock","WELL","UNCONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/c30p1110734lev.txt"
"C31Y1","NCDWR","Vaughan Elementary School",36.42048,-77.9992,352.338,"Feet",276,"Feet","N400PDMBRX","Piedmont and Blue Ridge crystalline-rock aquifers",37,"North Carolina",185,"Warren County","","Bedrock","WELL","UNCONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/c31y1110736lev.txt"
"C33Y1","NCDWR","Warren County High School",36.43298,-78.1661,437.897,"Feet",28,"Feet","N400PDMBRX","Piedmont and Blue Ridge crystalline-rock aquifers",37,"North Carolina",185,"Warren County","","Saprolite","WELL","UNCONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/c33y1110738lev.txt"
"C34L1","NCDWR","Northside Elementary",36.45644,-78.18521,417.636,"Feet",304,"Feet","N400PDMBRX","Piedmont and Blue Ridge crystalline-rock aquifers",37,"North Carolina",185,"Warren County","Br","Basement rock","WELL","UNCONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/c34l1110740lev.txt"
"C71U1","NCDWR","Laurel Springs",36.416674,-81.258856,2817.378,"Feet",74,"Feet","N400PDMBRX","Piedmont and Blue Ridge crystalline-rock aquifers",37,"North Carolina",5,"Alleghany County","","Bedrock","WELL","UNCONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/c71u1110741lev.txt"
"CC29L1","NCDWR","Eagle Point",34.289688,-77.767845,26.92,"Feet",105,"Feet","N400CSLHYN","Castle Hayne aquifer",37,"North Carolina",129,"New Hanover County","Tch","Castle Hayne","WELL","CONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/cc29l1110744lev.txt"
"CC29L2","NCDWR","Eagle Point",34.289688,-77.767845,26.8,"Feet",450,"Feet","S100NATLCP","Northern Atlantic Coastal Plain aquifer system",37,"North Carolina",129,"New Hanover County","Kpd","Peedee","WELL","CONFINED","https://www.ncwater.org/Data_and_Modeling/Ground_Water_Databases/potmaps/gwbdatafiles/cc29l2110745lev.txt"
